file,nodes,edges,cyclomatic_complexity,weakly_connected_components,scc_count,density,avg_betweenness,max_betweenness,avg_in_degree,avg_out_degree,max_in_degree,max_out_degree,leaf_nodes,root_nodes,complexity_per_node,edge_to_node_ratio,scc_to_node_ratio,leaf_ratio,label,category
12d6730c89e45b280f6361f68a5bf0f496de31714dd4e22b95e15bfd74772b31,4086,5809,1825,51,3445,0.000348,0.000369,0.01569,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
132b91016e512a1ec4189a05caca9a75b9650fd443394129ae56d49af11416e1,2321,2249,618,345,2153,0.000418,1.9e-05,0.002156,0.969,0.969,82,2,813,591,0.266265,0.968979,0.927617,0.35028,1,malware
140c8ba7a8d8398084ef0b11c052d0c9739664d29f587437f08cf5fa4620b34a,159,235,78,1,95,0.009354,0.046585,0.236943,1.478,1.478,8,2,36,1,0.490566,1.477987,0.597484,0.226415,1,malware
1548b623a282f2b483f1548cfac1925e2846df08debe4a086f316b29fc646e33,4086,5809,1825,51,3445,0.000348,0.000272,0.012436,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
15ce4c66ba5cbe8ebb7c64f11bfad34a769056fcb9b7865951fa4846f69cf424,7559,11908,4391,21,6094,0.000208,0.000203,0.014827,1.5753,1.5753,136,10,1079,126,0.580897,1.575341,0.806191,0.142744,1,malware
164b5b6b562e2d3d6220ed24fac2615db92193542367b0d2ee486c2490db67b3,2321,2249,618,345,2153,0.000418,1.5e-05,0.001721,0.969,0.969,82,2,813,591,0.266265,0.968979,0.927617,0.35028,1,malware
171eff127712b07452a7950182ffffedbc2a43db98d5dd39aae2cf2f40cae1b6,4086,5809,1825,51,3445,0.000348,0.000507,0.017201,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
17a401cfaa41faca366906601ebe54d8068b92d9a9a25f8eb61e7e0244fdbf0e,8342,13748,5434,14,6982,0.000198,0.000247,0.017933,1.648,1.648,175,32,965,213,0.651403,1.648046,0.83697,0.11568,1,malware
18f23b1d61195c309e00542fea7d338e3c30d4f1bd9c44c27140c11f698ac7aa,11393,18558,7197,16,9625,0.000143,7.5e-05,0.006653,1.6289,1.6289,204,32,1409,316,0.631704,1.628895,0.844817,0.123672,1,malware
18f7e345390a4b7bd6133ac5fdd16a833894f6bdc1c71ec3910db0beb24eb965,1159,1222,301,119,1054,0.00091,8e-05,0.001556,1.0544,1.0544,30,2,282,197,0.259707,1.054357,0.909405,0.243313,1,malware
18fedb391bbc9caac45ab947c9d1f76a154d17c90bca3b04af7c7101ed301a77,4006,3909,747,422,3831,0.000244,0.001137,0.008114,0.9758,0.9758,97,2,973,710,0.18647,0.975786,0.956316,0.242886,1,malware
198bf890a88d70aadd5a72003875a06aaed452034d4796abdc14531bad10d6fc,4086,5809,1825,51,3445,0.000348,0.000249,0.012213,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
1a5a86372c72d2b215f58f16de23b9720a185f96a0c447f9e94790690f336668,4190,4101,1057,573,3904,0.000234,1.9e-05,0.000716,0.9788,0.9788,148,2,1369,1011,0.252267,0.978759,0.931742,0.32673,1,malware
1a9f03ac68a70f91cad560da60d448ddfc46459b234455a3eac42e0ffaf4e8d9,4086,5809,1825,51,3445,0.000348,0.000364,0.016912,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
1ab75579559bf295fe2ee0b8891d57c9171fe33ff19dcf5317ef032ca9c80d63,1991,1949,524,283,1848,0.000492,2.9e-05,0.003283,0.9789,0.9789,73,2,681,501,0.263184,0.978905,0.928177,0.342039,1,malware
1b3191ecdb095c92e0e73ddd16b04e1d1ffd5897d688af9d82c6111c6d6ebc77,3741,5935,2214,10,2934,0.000424,0.00139,0.061128,1.5865,1.5865,42,49,416,198,0.59182,1.586474,0.784282,0.1112,1,malware
1d730e1398ab6dfe818775ce1180b1d28518785e36d6d535b2180f506b2b74ce,1993,3263,1278,4,1681,0.000822,0.00086,0.017519,1.6372,1.6372,87,8,269,35,0.641244,1.63723,0.843452,0.134972,1,malware
1d95819edf584b24a744a5f797c6fea0ef6c3a7d06952d2fa1e34bc35043ca7f,133,192,61,1,96,0.010936,0.040843,0.158015,1.4436,1.4436,7,2,32,1,0.458647,1.443609,0.721804,0.240601,1,malware
1d9bd12eba3996a9c61f63a06c95697d6cacca1075abba948023967d38709642,4086,5809,1825,51,3445,0.000348,0.000308,0.015358,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
1dc7b523b1f73c0775f9c1f3cede0abf1d9aa682216b4a70a77029a151bb9001,2335,2293,572,307,2244,0.000421,1e-06,0.000137,0.982,0.982,43,2,768,529,0.244968,0.982013,0.961028,0.328908,1,malware
1e6ed1423007e20dcc3fb4561159b4cd1f53a894bf1a8d50d36dc1be6ef143ae,4190,4101,1057,573,3904,0.000234,1.5e-05,0.00079,0.9788,0.9788,148,2,1369,1011,0.252267,0.978759,0.931742,0.32673,1,malware
1e9d3365c60d487456281642aa7dc5b47e1145a80aa4d5386c1384263471776b,3162,3295,907,387,2810,0.00033,6.9e-05,0.003122,1.0421,1.0421,81,2,993,704,0.286844,1.042062,0.888678,0.314042,1,malware
1ec158b350acc4ea0e5cdd31de0d844ffb096ccb50fb75d03d066591947e92ed,1702,2431,827,49,1504,0.00084,0.00044,0.004976,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
1f8982974a9acb71c3e6e34f5bf7fae0d10e985ca8b979b21128e508a8276f5a,2335,2293,572,307,2244,0.000421,2e-06,0.000137,0.982,0.982,43,2,768,529,0.244968,0.982013,0.961028,0.328908,1,malware
1fa2621c3b006c25625d075c096daa9506d4079e953f637292d8b94096136ec3,11131,17863,6786,27,9492,0.000144,5e-05,0.009545,1.6048,1.6048,183,32,1521,232,0.609649,1.604797,0.852754,0.136645,1,malware
1faa47ab4b331f3794beba8b98896da5f78cabcfab4b3a8eb35bd2ad2fa791d7,2185,3490,1313,4,1706,0.000731,0.001566,0.053139,1.5973,1.5973,140,8,342,53,0.600915,1.597254,0.780778,0.156522,1,malware
201388894f4267aef75a2897d0a5a628645594f8805303a2d1f819e81c9c9289,4753,7726,2993,10,3902,0.000342,0.000642,0.036066,1.6255,1.6255,103,8,603,125,0.629708,1.6255,0.820955,0.126867,1,malware
202bb6b7dbee554804d0c97199dad783f5b6ba526a0834f882cfd2847b719ca6,1991,1949,524,283,1848,0.000492,3.2e-05,0.003082,0.9789,0.9789,73,2,681,501,0.263184,0.978905,0.928177,0.342039,1,malware
2040de39d6399754d1cb2abe85a43e09f76ff1cdd846c427137dfc7a0e818c5f,4086,5809,1825,51,3445,0.000348,0.000372,0.017548,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
2057e4c8eb560f4e9369abffc5820332c6bd3c0bf4c6b1bc57d7078252b5f8d5,1702,2431,827,49,1504,0.00084,0.000711,0.009853,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
20ffd64c98334ce6f7d48de2c8d83fd6d0d7a13c49eca210fd9c2c454ac4f8d7,155,186,49,9,130,0.007792,0.002139,0.012544,1.2,1.2,4,2,33,23,0.316129,1.2,0.83871,0.212903,1,malware
21f1924b215582061f9b0142edbc80ee904df9d17ba7037bd3e1a66a9545a61d,2452,2261,595,393,2405,0.000376,1e-06,0.000151,0.9221,0.9221,84,2,921,652,0.242659,0.922104,0.980832,0.375612,1,malware
24521a4b868fd7f5fad606a29052a26c8de91b3a1b4d2cd038fcf91829c931f2,1702,2431,827,49,1504,0.00084,0.000756,0.011912,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
263da98a675744645a65785c184ef04ff954d282425fcfea6177f6fd449548fb,2662,3747,1277,96,2311,0.000529,0.000397,0.013528,1.4076,1.4076,60,8,475,259,0.479714,1.407588,0.868144,0.178437,1,malware
26c0e70aac94188d8c5160e7c3fcf709995e997de4bb9f568ef19e09d291cd91,1702,2431,827,49,1504,0.00084,0.000911,0.015147,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
26e86e8994ef46539aa47954113850d24d6afd410b7b07c44ccf202b807d7650,4207,4121,1054,570,3921,0.000233,1.9e-05,0.000873,0.9796,0.9796,146,2,1365,1006,0.250535,0.979558,0.932018,0.324459,1,malware
2739daf01b1eacc39173456655f75f5fad83bdd29866a489392a02f51fe1f5e1,1991,1949,524,283,1848,0.000492,4.2e-05,0.004168,0.9789,0.9789,73,2,681,501,0.263184,0.978905,0.928177,0.342039,1,malware
273de5f983707b5512633bff05395d2ff40a9535f3fac992d26d00f147a9a744,1702,2431,827,49,1504,0.00084,0.001117,0.016794,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
